Selected_IDs,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity,Property_Diversity,Composite_Score
1;12;62;85;86;101;123;140,6.700848027125,3.6242544600630273,0.018571428571428572,17.984540081805203,3.6035755432512317,0.22673965790671746
91;128;140;155;194;236;240;300,6.581805240125,3.1173872766406183,0.0,12.889141620266484,3.3300084179262552,0.22644274673997306
1;12;80;91;101;236;293;316,6.255336601874999,3.4443166358092183,0.0,19.19777799976284,3.8845191355142057,0.22613081414489053
1;12;91;120;125;211;300;318,7.338319005624999,4.592342374357946,0.015714285714285715,16.584031808714904,4.0626377042787905,0.22593607919189196
28;62;82;85;211;212;225;228,6.43478021575,3.5962794780390115,0.0,18.052051549590843,4.275003859555655,0.22586780616213165
12;85;128;211;233;266;284;316,6.286083468375001,2.815022692463128,0.01708074535714286,16.86187268292662,4.72707594703934,0.22584685435303203
66;67;85;125;211;236;293;318,7.282992166375,4.89974372146191,0.0,17.05045683420872,3.6678416428276845,0.22584597421491479
1;91;101;125;127;212;236;266,7.7120156044999995,5.1360495370352925,0.0,13.489609825521766,3.841941109490148,0.22580649275917347
85;101;125;127;211;223;300;318,7.6342541865,4.755584872122992,0.01708074535714286,14.311783082401574,4.122039797175463,0.22573589257047721
62;66;82;127;128;211;245;257,6.868442782000001,3.2468739808701126,0.03185907046428572,15.08332538589673,4.0640056366476385,0.2256940779199485
34;82;85;120;140;211;257;293,6.14059671075,3.1319936969642894,0.018571428571428572,21.13140872134735,4.1229326326719695,0.22567212407662254
1;66;85;101;127;236;254;318,8.071205069000001,4.9524196566915535,0.014778325107142857,10.01085014380894,3.2384718075074623,0.2256670183965711
1;12;85;101;120;127;128;293,7.629223475625,4.457372604698742,0.032795031071428574,14.619074561645819,3.6386806230538915,0.225623879474454
82;101;127;128;164;236;293;316,6.352913847375,3.1360800308888095,0.01708074535714286,18.302485193547618,3.99268725188393,0.22550210692564443
12;21;85;127;128;211;233;236,7.735148374374999,4.01106697004527,0.03320977760714285,10.118037063978907,3.800410322498016,0.22531963976597977
12;34;76;101;106;125;140;236,6.050706996375,3.405388483749538,0.0,21.290576602396225,3.561692083608091,0.22528892947675644
12;34;62;66;82;211;254;266,6.011794094375,2.6608742689414786,0.011278195500000001,18.087889508994966,4.201807760570885,0.2250138377454356
62;66;85;101;123;127;316;318,7.17487907025,4.399208304857653,0.014778325107142857,16.902624358734165,4.086511525158139,0.22500792950183984
62;66;92;101;127;211;236;318,7.3695238015,4.251304370357996,0.03185907046428572,16.07364369245506,3.99638530175161,0.225005000103995
1;67;85;101;127;212;236;257,8.334332483874999,5.43876906883027,0.0,7.913441045812577,3.218140667535064,0.2249844605399433
12;62;118;120;128;211;228;266,6.099159660250001,2.7285531549876545,0.01708074535714286,18.374121232173632,4.436908499536028,0.22487503226468963
66;118;140;211;236;255;300;316,6.201945206625,2.834526940019945,0.0,15.252910633897914,4.0450600353813915,0.2248626798875798
1;68;82;85;211;224;233;257,6.872858250875,3.3378872859038453,0.015714285714285715,13.068074433453504,3.8185975981056757,0.22483332223907732
1;12;28;34;62;85;127;211,7.026945152125,3.6910836935799676,0.036122448964285715,16.856978124649615,4.111697180702332,0.22481033090500496
1;67;68;82;85;120;212;233,7.454137026375,4.982705018616375,0.0,15.3729225704506,3.63063799366054,0.22473193048604037
12;86;101;122;125;140;236;266,6.117427796625,3.461239949274606,0.0,20.7750464699643,3.879152047873163,0.22466039484168077
28;67;68;85;101;128;228;276,6.750333104625,3.6999041669973574,0.01708074535714286,17.355155852938104,3.300937632404613,0.22461650517845427
1;85;127;196;236;266;293;318,7.311356987500001,5.167360791562653,0.0,18.419518206550006,4.127334679117944,0.22451456564312072
91;101;123;127;211;212;293;318,7.607612602125,4.75497717761133,0.01708074535714286,14.433971599754988,3.778150799947613,0.2244848125454314
12;66;82;101;127;128;140;266,6.6460705185,3.1033337972227635,0.03185907046428572,16.561560958857648,3.7709736326024728,0.22436558713057186
1;28;82;127;128;140;228;266,6.1705669873749995,2.9069396357787047,0.015714285714285715,18.465565885922985,3.922931639099377,0.2241890748583707
12;91;118;120;128;140;211;300,6.7275099176249995,3.109818583620882,0.034937888214285714,16.044620936731047,3.8639812965430997,0.22412514143382195
1;67;85;127;196;257;293;318,7.889999655625,5.81885888117522,0.0,15.943841854322228,3.7474976033506318,0.2240086036609186
1;12;76;82;85;123;140;211,6.817030433,3.5093565816269785,0.034232804250000005,17.70093126956306,3.7808425140850384,0.22400720798185886
118;127;128;140;155;211;300;316,6.732710254375,2.972919317603331,0.01708074535714286,12.231458831165133,4.485582330736244,0.2240024338446463
66;85;101;128;233;236;266;293,6.992839173875,3.709484443451138,0.01708074535714286,14.332261986896096,3.5302417070456813,0.22386753216924055
28;82;127;128;211;236;257;316,6.6924526535,2.9099284214517884,0.01708074535714286,12.225137487040291,3.94042843610448,0.22371730051288563
12;66;80;82;211;228;236;284,5.4790644695,2.435570468568466,0.0,21.052944284349074,3.943087276304167,0.22371498126363895
1;12;66;76;101;120;125;127,7.776370825000001,4.996061884922307,0.014778325107142857,13.625151651390068,3.330727996771537,0.2237026047408829
1;28;85;101;123;125;127;233,7.775282663375,4.97721123661746,0.01612903225,13.707279162439757,3.258006209007214,0.22368534324028433
12;34;80;91;197;211;236;240,5.749477580500001,2.6802955506114206,0.0,19.497759624983498,4.264126983622935,0.22368152650093043
1;28;62;66;85;123;127;211,7.488435172249999,4.312896571148046,0.03049261082142857,14.632387914029385,3.40184837180032,0.2236409083600771
67;82;118;127;140;211;245;293,6.390183089625,3.259144405111974,0.018571428571428572,18.654808330540074,4.155455299318802,0.22358043399369054
12;66;91;101;155;211;236;295,7.2416109550000005,3.5355282879698198,0.01708074535714286,9.977160140777551,3.7463427110563594,0.22354326191973467
1;28;68;82;85;101;128;284,6.5777130515,3.222943864973109,0.032795031071428574,18.251614517785654,3.4379312047629824,0.22340263140057215
67;82;101;128;140;228;236;257,6.405048822375001,3.157410562989174,0.01708074535714286,17.455691914719676,3.6045553824920264,0.22323972754967752
12;127;128;140;233;236;257;313,6.4480061397499995,3.1475817657555663,0.01612903225,16.707489466244674,4.128705752691082,0.22321060220554978
5;34;85;91;127;128;236;293,7.00987585725,3.905444210160889,0.018518518535714287,15.644764371393252,3.7593760453570986,0.22316435662991055
1;91;122;127;128;228;236;293,6.946525678374999,4.135315250653866,0.015714285714285715,17.647732464963255,3.6491516081205124,0.22316356356532135
12;85;91;123;128;211;257;284,6.957121924,3.504674602524881,0.03559926389285715,16.024636440730003,3.681859487930599,0.22316007320707748
1;5;85;101;120;127;257;318,7.970646891375,4.9768301246461375,0.016369047607142858,11.254551828702562,3.55911541429295,0.22310737641403966
1;68;82;85;121;127;245;276,6.552923131,3.684855715572972,0.013392857142857142,18.845930584344284,3.9942366490294945,0.22302841113170968
1;34;91;92;120;125;127;211,7.56186500725,4.9482993591346185,0.015714285714285715,15.944122047384754,4.212892575592344,0.223017518879708
1;67;85;101;127;266;316;318,7.577571198749999,4.754202991649318,0.0,11.930122102526765,4.128161373722974,0.22296478242408718
1;28;91;128;196;236;257;293,7.144064831875,4.4708000924922935,0.015714285714285715,17.570236836972537,3.3408229265377245,0.22269301336191438
1;85;101;127;211;257;276;318,8.036808736625,4.665671113976698,0.032795031071428574,10.655009578526743,3.850465099398261,0.2226810627866356
1;67;68;82;121;127;284;318,6.41162236975,3.891553435416288,0.0,19.952445610820067,3.7689202214055584,0.22266218226588597
12;62;101;183;187;202;211;236,6.4545785017499995,3.1383030186559306,0.01708074535714286,16.609244247877626,4.353519733872719,0.22260389340427827
66;76;86;127;128;140;236;266,6.67995979525,3.269532881269728,0.014778325107142857,14.418200212985194,3.766153832413664,0.22247126977107604
1;66;91;101;125;127;236;257,7.932209540250001,4.979870361304256,0.014778325107142857,11.398802549167527,3.426901557060803,0.22245389254860254
91;92;125;140;211;236;271;295,6.331450538875,3.6774841333643584,0.0,19.356911685907374,4.099642540267909,0.22244495242020196
1;12;86;91;101;202;236;270,7.288369888875,4.052141943602805,0.0,10.326975807212593,3.382678493414995,0.22242746934555496
28;62;86;91;159;211;316;322,5.79827729375,2.65467515941274,0.0,18.512564700584598,4.629829900056916,0.2224154210730656
12;91;123;127;197;211;276;300,6.748951163499999,3.561945172414745,0.02419354839285714,17.110004076488266,4.095520971384881,0.22236473825967576
16;91;127;128;197;211;236;240,6.9863593905000005,3.437491851768822,0.01708074535714286,12.207004508554443,4.043372487535858,0.22234331378487826
1;82;101;127;128;164;236;293,6.955725006875,3.690688875941082,0.032795031071428574,16.82003930949949,3.6680757350808197,0.22233319757315229
68;82;86;127;151;211;236;266,6.04165393075,2.8220837106567376,0.0,16.695268281613973,4.381521825509133,0.2221565266998345
1;12;80;82;101;125;140;236,6.11346017525,3.522874873277122,0.0,20.84671723932311,3.415095898545579,0.2220241995500548
11;85;127;128;140;211;228;257,6.9538749686250005,3.446339815237762,0.01708074535714286,12.617230276161738,4.047882813821463,0.22201977802903056
1;85;101;106;127;233;257;318,7.77268870025,4.685145009488883,0.01612903225,11.346994038456232,3.478556323379773,0.22189414862975315
