Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
253,120,253,120,3.860561815,7.217553802,0.677419355,3.3569919870000002,0.6643008013000335,10.406675164871077,High SALI Cliff
120,253,120,253,7.217553802,3.860561815,0.677419355,3.3569919870000002,0.6643008013000335,10.406675164871077,High SALI Cliff
243,212,243,212,2.989556131,8.881820379,0.433333333,5.892264248,0.41077357520005897,10.398113372688643,High SALI Cliff
51,206,51,206,10.0,4.262992225,0.444444444,5.737007775,0.42629922250005736,10.32661398672012,High SALI Cliff
63,19,63,19,7.083768157,2.869477425,0.590909091,4.214290732,0.5785709268000421,10.301599569375174,High SALI Cliff
19,63,19,63,2.869477425,7.083768157,0.590909091,4.214290732,0.5785709268000421,10.301599569375174,High SALI Cliff
63,170,63,170,7.083768157,2.416938977,0.541666667,4.66682918,0.5333170820000467,10.182172763746637,High SALI Cliff
170,63,170,63,2.416938977,7.083768157,0.541666667,4.66682918,0.5333170820000467,10.182172763746637,High SALI Cliff
280,231,280,231,6.606390996,2.338607345,0.578947368,4.267783651,0.5732216349000426,10.135986160964942,High SALI Cliff
231,280,231,280,2.338607345,6.606390996,0.578947368,4.267783651,0.5732216349000426,10.135986160964942,High SALI Cliff
193,231,193,231,7.403838258,2.338607345,0.5,5.065230913000001,0.49347690870005056,10.13046182597974,High SALI Cliff
237,55,237,55,1.406874196,7.306877373,0.416666667,5.900003177,0.409999682300059,10.114291166333686,High SALI Cliff
84,199,84,199,4.05799591,7.844851726,0.625,3.786855816,0.6213144184000379,10.098282175973072,High SALI Cliff
199,84,199,84,7.844851726,4.05799591,0.625,3.786855816,0.6213144184000379,10.098282175973072,High SALI Cliff
196,22,196,22,8.494602903,4.17587621,0.571428571,4.318726693,0.5681273307000432,10.077028940232793,High SALI Cliff
51,72,51,72,10.0,4.601531203,0.461538462,5.398468797,0.46015312030005406,10.025727774432005,High SALI Cliff
66,18,66,18,8.132593737,2.469854016,0.433333333,5.662739721,0.43372602790005654,9.993070089986443,High SALI Cliff
73,35,73,35,3.087572755,6.917915167,0.615384615,3.8303424120000003,0.6169657588000383,9.958890261215217,High SALI Cliff
35,73,35,73,6.917915167,3.087572755,0.615384615,3.8303424120000003,0.6169657588000383,9.958890261215217,High SALI Cliff
261,45,261,45,6.514400802,2.152219008,0.56,4.362181794,0.5637818206000437,9.914049531795651,High SALI Cliff
45,261,45,261,2.152219008,6.514400802,0.56,4.362181794,0.5637818206000437,9.914049531795651,High SALI Cliff
170,225,170,225,2.416938977,7.122262926,0.52,4.705323949,0.5294676051000471,9.802758227062911,High SALI Cliff
225,170,225,170,7.122262926,2.416938977,0.52,4.705323949,0.5294676051000471,9.802758227062911,High SALI Cliff
225,19,225,19,7.122262926,2.869477425,0.565217391,4.252785501,0.5747214499000426,9.781406645430518,High SALI Cliff
19,225,19,225,2.869477425,7.122262926,0.565217391,4.252785501,0.5747214499000426,9.781406645430518,High SALI Cliff
96,304,96,304,6.448395254,1.941937278,0.538461538,4.506457976,0.5493542024000451,9.763992271548185,High SALI Cliff
6,196,6,196,4.802795444,8.494602903,0.617647059,3.6918074590000005,0.6308192541000368,9.655496435661902,High SALI Cliff
196,6,196,6,8.494602903,4.802795444,0.617647059,3.6918074590000005,0.6308192541000368,9.655496435661902,High SALI Cliff
273,109,273,109,4.709506618,8.558134234,0.6,3.848627616000001,0.6151372384000384,9.621569039975949,High SALI Cliff
109,273,109,273,8.558134234,4.709506618,0.6,3.848627616000001,0.6151372384000384,9.621569039975949,High SALI Cliff
