Selected_IDs,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity,Property_Diversity,Composite_Score
28;85;101;106;127;228;257;284,6.3702027843749995,3.328604451760946,0.0,18.282422221398054,3.805162240258395,0.26901543465964434
12;82;140;211;236;240;293;300,5.68165407325,2.277786911793497,0.018571428571428572,19.817448371123113,4.2175170417013925,0.2688769073709294
28;62;85;127;128;140;236;257,6.65960938825,3.47145554492185,0.018571428571428572,18.51809802531611,3.840571448104147,0.2686389277998342
68;82;101;211;228;266;284;316,5.2623329765,1.9934785018302237,0.01708074535714286,21.76640188535294,4.623803469217884,0.2684998905379687
1;101;127;140;228;236;257;266,6.622601945375001,3.4531810405594845,0.0,16.540010989714393,3.9879783789840944,0.268449786311286
12;127;128;197;211;228;257;266,6.29669676275,2.7509022103722285,0.01708074535714286,16.739788824888493,4.559304622839572,0.2682383378268448
12;62;82;120;127;128;140;257,6.343168588625,3.224938418569049,0.018571428571428572,19.865040274854874,3.976364070226468,0.26819551283902177
12;91;128;140;211;236;266;275,6.4492772751250005,3.0140780140050247,0.01708074535714286,17.0833170728185,4.146894495797328,0.26813971239404566
5;68;91;120;127;211;284;316,6.38584493875,3.407441624668385,0.0,18.461151537181138,4.509860835544935,0.2675617271114821
34;82;85;120;140;211;257;293,6.14059671075,3.1319936969642894,0.018571428571428572,21.13140872134735,4.1229326326719695,0.2675077360954733
12;34;62;66;82;211;254;266,6.011794094375,2.6608742689414786,0.011278195500000001,18.087889508994966,4.201807760570885,0.26700363134294647
12;62;118;120;128;211;228;266,6.099159660250001,2.7285531549876545,0.01708074535714286,18.374121232173632,4.436908499536028,0.266980253517287
67;68;82;85;120;128;140;211,6.700000798375,3.6043506173442674,0.01708074535714286,18.59066630010417,3.783805872185546,0.26674306421631533
12;85;101;106;123;140;211;266,6.3603456371250005,3.1579230762322714,0.01708074535714286,18.79611732802136,3.8842897114022565,0.2667283345941507
12;34;80;91;197;211;236;240,5.749477580500001,2.6802955506114206,0.0,19.497759624983498,4.264126983622935,0.26667235941506223
28;82;91;140;211;236;293;316,5.698215903625,2.5347041340740626,0.018571428571428572,21.10377863022657,4.208499215515255,0.26636076800062003
28;82;120;127;140;211;228;293,5.8843472473750005,2.892924987614255,0.018571428571428572,21.766484582357673,4.045978972774206,0.2660840638305111
5;68;91;101;211;236;284;318,6.561339782375001,3.390391183185827,0.01708074535714286,18.312032740830723,3.6905549866126193,0.2659050018013058
1;21;28;82;85;127;293;316,6.839548666125,3.850213928256876,0.0,16.807108114943983,3.9481414564885964,0.26589793417773044
68;82;121;140;211;228;257;316,5.095347440625,1.923693769044717,0.015306122464285714,22.300821366771054,4.375194811817994,0.26575099369234967
12;66;106;118;125;211;236;266,6.426053619625,3.41349824354098,0.0,17.79833518523932,4.011593850574941,0.26568929326910434
28;62;66;82;121;211;236;293,5.7168106053750005,2.6423676654525523,0.020186335392857142,21.763384667842498,3.701069196772162,0.2656057853955604
12;85;128;211;233;266;284;316,6.286083468375001,2.815022692463128,0.01708074535714286,16.86187268292662,4.72707594703934,0.2654380047142138
28;62;82;85;128;140;192;211,5.939425100375,2.5445638143209424,0.03565217392857143,20.597779848102057,4.004769791894375,0.26540995504856507
1;82;85;101;127;140;211;236,7.345225070875,3.8100236640394582,0.032795031071428574,15.17083083142516,3.9335214476284848,0.2652760342938598
1;82;101;123;125;127;140;318,7.081195075125,4.5503449555564375,0.0,19.314963946664907,3.675974237928451,0.26521705504737314
12;62;91;140;192;211;236;266,5.707324752125,2.593581203240093,0.018571428571428572,21.22194457546011,4.24298197602704,0.2650171639270016
1;28;82;127;128;140;228;266,6.1705669873749995,2.9069396357787047,0.015714285714285715,18.465565885922985,3.922931639099377,0.26501604753194247
12;91;122;140;211;236;266;275,6.282047234875,3.3247048938904538,0.0,18.501353776747482,4.111420841950195,0.26499430288454107
12;123;128;140;192;211;266;300,5.921937075875,2.473979669208884,0.01708074535714286,18.000240933076356,4.0993584763017425,0.2649462508080479
12;91;101;140;211;235;276;322,6.44239804425,3.0914275118533316,0.01708074535714286,17.183778131267704,3.984783255073154,0.26484331874118255
12;62;85;91;123;127;211;318,7.303508262499999,4.287987269319274,0.018518518535714287,17.292956416888213,4.1677530534786715,0.2648336714648465
28;62;86;91;159;211;316;322,5.79827729375,2.65467515941274,0.0,18.512564700584598,4.629829900056916,0.26475902913503874
68;127;128;211;228;276;284;316,5.938153916875,2.7400684015322607,0.01708074535714286,19.727926769663764,4.608057749567275,0.26474919358268456
12;82;85;140;211;224;228;293,5.603011313875,2.416784291426091,0.018571428571428572,20.93858522101658,4.088702205013678,0.26464085163233736
